epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,momentum,weight_decay,scheduler,idx,constant,epochs,on,patience,delta,verbose,T_0,T_mult,eta_max,T_up,gamma
24,16.7609055,0.16227611,0.541100543,0.287301884,0.492708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
25,17.44551682,0.160303568,0.545516304,0.288309402,0.490625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
26,18.09391999,0.151472644,0.544157609,0.285644273,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
27,18.78240919,0.148387724,0.551290761,0.287234724,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
28,19.43046165,0.136718026,0.549592391,0.29526675,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
29,20.08169889,0.130386523,0.547554348,0.29031326,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
30,20.73912334,0.128015657,0.553668478,0.280266652,0.497916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
31,21.44360995,0.117439055,0.555366848,0.289174406,0.492708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
32,22.09268236,0.107464416,0.554347826,0.27432556,0.502083333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
33,22.78625107,0.107431198,0.54517663,0.2915801,0.489583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
34,23.43793488,0.105508067,0.54517663,0.310288699,0.489583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
35,24.08636904,0.106587314,0.54857337,0.310152865,0.488541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
36,24.73620033,0.095794931,0.551290761,0.300510364,0.490625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
37,25.38539195,0.089834632,0.549592391,0.299643936,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
38,26.03373432,0.089388501,0.561141304,0.313545013,0.489583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
39,26.68000436,0.08432535,0.551290761,0.28361127,0.509375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
40,27.32979608,0.084864135,0.572350543,0.27534709,0.51875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
41,27.97381735,0.083952365,0.579483696,0.319773138,0.495833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
42,28.61838603,0.075562934,0.567934783,0.311426338,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
43,29.26852417,0.068695053,0.572690217,0.293849526,0.50625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
44,29.91629314,0.060467994,0.575067935,0.33015582,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
45,30.56150389,0.065562202,0.577105978,0.295492428,0.497916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
46,31.20580292,0.06584906,0.569633152,0.30669101,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
47,31.85198808,0.061451606,0.569633152,0.345259874,0.489583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
48,32.49709272,0.063532379,0.571331522,0.305533264,0.494791667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
49,33.14157748,0.054889885,0.56861413,0.299600371,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
50,33.78963518,0.055902626,0.557065217,0.30575378,0.49375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
51,34.43355203,0.054590477,0.570652174,0.350099084,0.491666667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
52,35.07778287,0.046540445,0.569293478,0.383173834,0.486458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
53,35.72792125,0.044890436,0.5703125,0.363058773,0.492708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
54,36.37628579,0.053273463,0.57201087,0.342937,0.490625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
55,37.0250268,0.051229287,0.571331522,0.311629216,0.496875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
56,37.67259622,0.049838729,0.579144022,0.388940954,0.488541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
57,38.31895852,0.044779509,0.581182065,0.322999322,0.497916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
58,38.96434784,0.050284186,0.588994565,0.331334998,0.50625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
59,39.60794997,0.048266832,0.591372283,0.346924247,0.502083333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
60,40.25323057,0.039052651,0.589334239,0.314886816,0.516666667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
61,40.89774108,0.045978829,0.597826087,0.313253091,0.505208333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
62,41.54125333,0.040381193,0.600883152,0.291071682,0.546875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
63,42.18578029,0.045124339,0.597486413,0.298079614,0.542708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
64,42.82965803,0.043655856,0.601222826,0.297095708,0.541666667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
65,43.47501326,0.04002173,0.600543478,0.291921421,0.544791667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
66,44.12312388,0.035508992,0.609035326,0.294401296,0.566666667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
67,44.77079773,0.032384915,0.599184783,0.305589398,0.595833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
68,45.41644526,0.038024477,0.600543478,0.282847724,0.561458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
