epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,weight_decay,scheduler,step_size,gamma,epochs
27,8.647361755371094,0.0007597354671311935,0.3625753012048193,0.8729686416961528,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
28,8.967819213867188,0.0006794749260515379,0.36106927710843373,0.8763929864874592,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
29,9.28624963760376,0.0006146584896943027,0.36332831325301207,0.8806764157833876,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
30,9.601547241210938,0.0005592085860798651,0.3640813253012048,0.8845382112043875,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
31,9.89928126335144,0.0005119327976121511,0.3621987951807229,0.8884675392398128,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
32,10.218756198883057,0.00047084479277156833,0.3648343373493976,0.8930678086148368,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
33,10.53200912475586,0.00043480616208048064,0.36634036144578314,0.8968843348600246,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
34,10.851207494735718,0.00040285211864365153,0.36521084337349397,0.9009342651676249,0.4340277777777778,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
35,11.16367220878601,0.0003742337039621345,0.36596385542168675,0.9050013991417708,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
36,11.481003522872925,0.00034814549074227734,0.36521084337349397,0.9091543869839774,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
37,11.799691200256348,0.0003248647318911705,0.36596385542168675,0.9128886378473706,0.4375,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
38,12.116421222686768,0.00030302466734884734,0.36521084337349397,0.9174966094670473,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
39,12.431292295455933,0.0002835269772632788,0.36596385542168675,0.9213221702310774,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
40,12.75474762916565,0.0002655787915917091,0.3685993975903614,0.9250667360093858,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
41,13.071165561676025,0.00024895852367486245,0.3682228915662651,0.9287180486652586,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
42,13.384387731552124,0.00023368441048134342,0.3678463855421687,0.9332690868112776,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
43,13.698257684707642,0.0002198035207945932,0.3693524096385542,0.9368706715327723,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
44,14.0115327835083,0.00020675678791461446,0.3697289156626506,0.9405770533614688,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
45,14.325916051864624,0.0001945938064340861,0.3685993975903614,0.9440489869426798,0.4375,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
46,14.6408212184906,0.00018338501086621265,0.37311746987951805,0.9477942900525199,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
47,14.955434083938599,0.000172905375653631,0.3682228915662651,0.9513086687635492,0.4375,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
48,15.275007724761963,0.0001631806898583007,0.37123493975903615,0.9548515682971036,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
49,15.59094786643982,0.000154026187023608,0.3689759036144578,0.9582827129849681,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
50,15.90562915802002,0.00014557415300051692,0.37161144578313254,0.9618050124910142,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
